"input__destination","input__duration","input__interests__001","input__interests__002","input__interests__003","input__interests__004","input__interests__005","output__optimized_itinerary__state","output__optimized_itinerary__days__day","output__optimized_itinerary__days__morning","output__optimized_itinerary__days__afternoon","output__optimized_itinerary__days__evening"
"Agra","2","history","architecture","","","","","1","Visit the Taj Mahal at sunrise","Explore Agra Fort","Mehtab Bagh for sunset views of the Taj"
"","","","","","","","","2","Visit Fatehpur Sikri","Explore the Tomb of Itimad-ud-Daulah (Baby Taj)","Shopping for local handicrafts"
"Jaipur","3","history","culture","shopping","","","","1","Explore City Palace","Visit Jantar Mantar","Shopping at Johari Bazaar"
"","","","","","","","","2","Visit Amer Fort","Explore Jaigarh Fort","Enjoy a traditional Rajasthani dinner"
"","","","","","","","","3","Visit Hawa Mahal and Nahargarh Fort","Block printing workshop","Relax at a rooftop cafe"
"Goa","4","beach","nightlife","watersports","","","","1","Relax at Calangute Beach","Watersports at Baga Beach","Party at Tito's Lane"
"","","","","","","","","2","Explore Old Goa churches","Visit a spice plantation","Sunset cruise on the Mandovi River"
"","","","","","","","","3","Dolphin spotting trip","Relax at Anjuna Beach","Anjuna Flea Market"
"","","","","","","","","4","Visit Dudhsagar Falls","Explore the peaceful beaches of South Goa","Dinner at a beach shack"
"Delhi","3","history","food","culture","","","","1","Explore Old Delhi: Jama Masjid, Chandni Chowk","Visit Red Fort","Light and sound show at Red Fort"
"","","","","","","","","2","Visit Humayun's Tomb and Qutub Minar","Explore Lodhi Garden","Dine at a fine dining restaurant"
"","","","","","","","","3","Visit India Gate and Rashtrapati Bhavan","Explore Connaught Place for shopping","Food tour in a local market"
"Mumbai","3","city life","food","bollywood","","","","1","Visit the Gateway of India and take a ferry to Elephanta Caves","Explore Colaba Causeway for shopping","Walk along Marine Drive"
"","","","","","","","","2","Dharavi slum tour","Visit Haji Ali Dargah and Mahalaxmi Temple","Watch a Bollywood movie at a classic cinema"
"","","","","","","","","3","Explore Bandra-Worli Sea Link and Bandstand","Visit Film City","Enjoy the nightlife in Bandra"
"Varanasi","2","spirituality","culture","","","","","1","Sunrise boat ride on the Ganges","Explore the ghats and temples","Witness the Ganga Aarti ceremony"
"","","","","","","","","2","Visit Sarnath","Walking tour of the old city","Attend a classical music concert"
"Udaipur","3","culture","nature","","","","","1","City Palace tour","Boat ride on Lake Pichola","Cultural show at Bagore Ki Haveli"
"","","","","","","","","2","Visit Jagdish Temple and Saheliyon Ki Bari","Explore the vintage car museum","Sunset at Monsoon Palace"
"","","","","","","","","3","Day trip to Kumbhalgarh Fort","Explore the fort","Relax by the lake"
"Jodhpur","2","history","architecture","","","","","1","Explore Mehrangarh Fort","Visit Jaswant Thada","Explore the blue city and its markets"
"","","","","","","","","2","Visit Umaid Bhawan Palace Museum","Shopping for local handicrafts","Enjoy a traditional Rajasthani thali"
"Rishikesh","3","adventure","spirituality","yoga","","","","1","River rafting on the Ganges","Visit Lakshman Jhula and Ram Jhula","Attend the Ganga Aarti at Triveni Ghat"
"","","","","","","","","2","Yoga and meditation session","Hike to a waterfall","Explore the local cafes"
"","","","","","","","","3","Bungee jumping or zip-lining","Visit the Beatles Ashram","Relax by the river"
"Shimla","3","nature","colonial architecture","","","","","1","Walk along the Mall Road","Visit the Viceregal Lodge","Enjoy views from the Ridge"
"","","","","","","","","2","Toy train ride to Kalka","Visit Jakhoo Temple","Explore the local markets"
"","","","","","","","","3","Day trip to Kufri","Enjoy horse riding and other activities","Relax and enjoy the cool weather"
"Manali","4","adventure","nature","honeymoon","","","","1","Explore Manali town","Visit Hadimba Temple","Relax by the Beas River"
"","","","","","","","","2","Day trip to Solang Valley","Paragliding and other adventure sports","Bonfire and music"
"","","","","","","","","3","Day trip to Rohtang Pass","Enjoy the snow and stunning views","Explore the Mall Road"
"","","","","","","","","4","Visit Old Manali","Explore the cafes and chill","Departure"
"Darjeeling","3","tea plantations","nature","mountains","","","","1","Sunrise at Tiger Hill","Visit a tea estate and factory","Stroll around Chowrasta Mall"
"","","","","","","","","2","Darjeeling Himalayan Railway (Toy Train) ride","Visit the Himalayan Mountaineering Institute and Zoo","Explore the local markets"
"","","","","","","","","3","Visit the Peace Pagoda","Explore the Rock Garden and Ganga Maya Park","Enjoy a traditional Tibetan meal"
"Munnar","3","nature","tea plantations","wildlife","","","","1","Visit a tea museum","Explore the tea gardens","Relax and enjoy the serene environment"
"","","","","","","","","2","Visit Eravikulam National Park","Explore Mattupetty Dam and Echo Point","Boating in Kundala Lake"
"","","","","","","","","3","Visit Top Station for panoramic views","Explore the local market for spices","Enjoy a quiet evening amidst nature"
"Alleppey (Alappuzha)","2","backwaters","houseboat","relaxation","","","","1","Check into a houseboat","Cruise through the backwaters","Enjoy a traditional Kerala meal on the houseboat"
"","","","","","","","","2","Explore the local villages and paddy fields","Relax on the houseboat","Departure"
"Kochi (Cochin)","2","history","culture","food","","","","1","Explore Fort Kochi: Chinese Fishing Nets, St. Francis Church","Visit the Dutch Palace and Jewish Synagogue","Watch a Kathakali performance"
"","","","","","","","","2","Explore Mattancherry","Shopping for spices and antiques","Enjoy seafood at a local restaurant"
"Hampi","3","history","ruins","bouldering","","","","1","Explore the Virupaksha Temple and Hampi Bazaar","Visit the Vittala Temple Complex (Stone Chariot)","Sunset from Matanga Hill"
"","","","","","","","","2","Explore the Royal Enclosure","Visit the Zenana Enclosure and Elephant Stables","Coracle ride on the Tungabhadra River"
"","","","","","","","","3","Explore the other side of the river (Anegundi)","Bouldering and exploring the hippie culture","Relax at a cafe"
"Mysore","2","history","palaces","culture","","","","1","Visit Mysore Palace","Explore Devaraja Market","Witness the illumination of Mysore Palace"
"","","","","","","","","2","Visit Chamundi Hills and Chamundeshwari Temple","Explore the Jaganmohan Palace and Art Gallery","Enjoy a traditional Mysore Pak"
"Amritsar","2","spirituality","history","food","","","","1","Visit the Golden Temple","Explore Jallianwala Bagh","Witness the Palki Sahib ceremony at the Golden Temple"
"","","","","","","","","2","Visit the Wagah Border for the Beating Retreat ceremony","Explore the local markets","Enjoy a traditional Punjabi meal"
"Leh-Ladakh","7","adventure","mountains","monasteries","","","","1","Arrive in Leh and acclimatize","Rest","Explore Leh market"
"","","","","","","","","2","Visit Leh Palace and Shanti Stupa","Explore local monasteries: Hemis, Thiksey, Shey","Relax"
"","","","","","","","","3","Drive to Nubra Valley via Khardung La","Camel safari in Hunder sand dunes","Stay overnight in Nubra"
"","","","","","","","","4","Visit Diskit Monastery","Drive back to Leh","Relax"
"","","","","","","","","5","Drive to Pangong Tso","Enjoy the beauty of the lake","Stay overnight near Pangong"
"","","","","","","","","6","Drive back to Leh","Explore local markets","Farewell dinner"
"","","","","","","","","7","Departure from Leh","",""
"Srinagar","4","nature","lakes","gardens","","","","1","Arrive in Srinagar and check into a houseboat","Shikara ride on Dal Lake","Explore the floating markets"
"","","","","","","","","2","Visit Mughal Gardens: Nishat Bagh, Shalimar Bagh","Explore Shankaracharya Temple","Relax on the houseboat"
"","","","","","","","","3","Day trip to Gulmarg","Enjoy the gondola ride","Return to Srinagar"
"","","","","","","","","4","Day trip to Pahalgam","Explore the beautiful valleys","Return to Srinagar"
"Jaisalmer","3","desert","forts","culture","","","","1","Explore Jaisalmer Fort","Visit Patwon Ki Haveli","Enjoy sunset views from the fort"
"","","","","","","","","2","Visit Gadisar Lake","Camel safari to the sand dunes","Cultural program and dinner at a desert camp"
"","","","","","","","","3","Explore the desert camp","Return to Jaisalmer and explore local markets","Departure"
"Khajuraho","2","temples","sculptures","history","","","","1","Explore the Western Group of Temples","Visit the Eastern Group of Temples","Light and sound show"
"","","","","","","","","2","Explore the Southern Group of Temples","Visit the Raneh Falls","Departure"
"Aurangabad (Ajanta & Ellora Caves)","3","caves","history","architecture","","","","1","Day trip to Ajanta Caves","Explore the caves","Return to Aurangabad"
"","","","","","","","","2","Day trip to Ellora Caves","Explore the caves and Kailasa Temple","Return to Aurangabad"
"","","","","","","","","3","Visit Bibi Ka Maqbara and Daulatabad Fort","Explore Aurangabad city","Departure"
"Kolkata","3","culture","history","food","","","","1","Visit the Victoria Memorial","Explore St. Paul's Cathedral and the Maidan","Take a tram ride"
"","","","","","","","","2","Explore North Kolkata: Kumortuli, Marble Palace","Visit the Howrah Bridge and Flower Market","Enjoy Bengali cuisine"
"","","","","","","","","3","Visit the Indian Museum","Explore Park Street","Food tour"
"Chennai","2","temples","beaches","culture","","","","1","Visit Kapaleeshwarar Temple","Explore Marina Beach","Enjoy the local cuisine"
"","","","","","","","","2","Day trip to Mahabalipuram","Explore the shore temples and rock-cut sculptures","Return to Chennai"
"Madurai","2","temples","history","culture","","","","1","Visit Meenakshi Amman Temple","Explore Thirumalai Nayakkar Palace","Witness the night ceremony at Meenakshi Temple"
"","","","","","","","","2","Visit Gandhi Memorial Museum","Explore the local markets","Departure"
"Ranthambore National Park","2","wildlife","safari","nature","","","","1","Morning safari","Relax at the resort","Evening safari"
"","","","","","","","","2","Morning safari","Visit Ranthambore Fort","Departure"
"Jim Corbett National Park","2","wildlife","safari","nature","","","","1","Morning safari","Nature walk along the Kosi River","Evening safari"
"","","","","","","","","2","Morning safari","Visit Corbett Museum","Departure"
"Kaziranga National Park","2","wildlife","safari","nature","","","","1","Elephant safari","Jeep safari","Cultural show"
"","","","","","","","","2","Jeep safari in another range","Visit a tea garden","Departure"
"Sundarbans National Park","3","wildlife","mangroves","boating","","","","1","Travel to the Sundarbans","Boat cruise through the mangroves","Stay at a jungle resort"
"","","","","","","","","2","Visit a watchtower for wildlife viewing","Explore the local villages","Cultural program"
"","","","","","","","","3","Boat safari","Return to Kolkata","Departure"
"Pondicherry","3","french culture","beaches","spirituality","","","","1","Explore the French Quarter","Visit Aurobindo Ashram","Stroll along the Promenade Beach"
"","","","","","","","","2","Day trip to Auroville","Visit Matrimandir","Relax at a cafe in Auroville"
"","","","","","","","","3","Explore the beaches: Paradise Beach, Serenity Beach","Shopping for local handicrafts","Enjoy French cuisine"
"Ooty","3","nature","tea plantations","hills","","","","1","Toy train ride from Mettupalayam to Ooty","Visit Ooty Lake","Explore the local market"
"","","","","","","","","2","Visit the Botanical Gardens","Explore Doddabetta Peak","Visit a tea factory"
"","","","","","","","","3","Day trip to Coonoor","Explore Sim's Park and Dolphin's Nose","Return to Ooty"
"Kodaikanal","3","nature","lakes","hills","","","","1","Boating in Kodaikanal Lake","Explore Coaker's Walk","Enjoy the views from Bryant Park"
"","","","","","","","","2","Visit Pillar Rocks and Green Valley View","Explore Bear Shola Falls","Visit the Kodai Astrophysical Observatory"
"","","","","","","","","3","Trekking in the hills","Explore the local markets for homemade chocolates","Departure"
"Mahabaleshwar","2","nature","viewpoints","strawberries","","","","1","Visit Arthur's Seat and other viewpoints","Boating in Venna Lake","Explore the market and enjoy strawberry with cream"
"","","","","","","","","2","Visit Pratapgad Fort","Explore the strawberry farms","Departure"
"Lonavala","2","hills","forts","caves","","","","1","Visit Karla and Bhaja Caves","Explore Lohagad Fort","Enjoy the views from Tiger Point"
"","","","","","","","","2","Visit Bushi Dam","Explore Lonavala Lake","Enjoy chikki and fudge"
"Mount Abu","2","temples","nature","relaxation","","","","1","Visit Dilwara Temples","Boating in Nakki Lake","Sunset at Sunset Point"
"","","","","","","","","2","Visit Guru Shikhar","Explore Achalgarh Fort","Departure"
"Nainital","3","lakes","nature","hills","","","","1","Boating in Naini Lake","Visit Naina Devi Temple","Stroll along the Mall Road"
"","","","","","","","","2","Cable car ride to Snow View Point","Visit the Nainital Zoo","Explore the Tibetan Market"
"","","","","","","","","3","Day trip to Bhimtal, Sattal, and Naukuchiatal","Enjoy the beauty of the lakes","Return to Nainital"
"Mussoorie","3","hills","nature","waterfalls","","","","1","Visit Kempty Falls","Cable car ride to Gun Hill","Stroll along the Mall Road"
"","","","","","","","","2","Visit Landour and St. Paul's Church","Explore Lal Tibba","Enjoy the sunset views"
"","","","","","","","","3","Day trip to Dhanaulti","Explore the Eco Park","Return to Mussoorie"
"Gangtok","4","mountains","monasteries","nature","","","","1","Arrive in Gangtok and relax","Explore MG Marg","Enjoy local cuisine"
"","","","","","","","","2","Day trip to Tsomgo Lake and Baba Mandir","Enjoy the scenic beauty","Return to Gangtok"
"","","","","","","","","3","Visit Rumtek Monastery","Explore the Namgyal Institute of Tibetology","Ropeway ride"
"","","","","","","","","4","Visit Enchey Monastery and Ganesh Tok","Explore the flower exhibition centre","Departure"
"Shillong","4","nature","waterfalls","caves","","","","1","Arrive in Shillong and visit Umiam Lake","Explore Ward's Lake and Lady Hydari Park","Stroll around Police Bazaar"
"","","","","","","","","2","Day trip to Cherrapunji","Visit Nohkalikai Falls and Mawsmai Cave","Return to Shillong"
"","","","","","","","","3","Visit Shillong Peak and Elephant Falls","Explore the Don Bosco Museum","Enjoy the nightlife"
"","","","","","","","","4","Day trip to Mawlynnong (Asia's cleanest village)","Visit the Living Root Bridge","Return to Shillong"
"Tawang","5","monasteries","mountains","history","","","","1","Travel to Tawang from Guwahati/Tezpur","Stop at Sela Pass","Arrive in Tawang and relax"
"","","","","","","","","2","Visit Tawang Monastery","Explore the Giant Buddha Statue","Visit the Tawang War Memorial"
"","","","","","","","","3","Day trip to Bum La Pass and Madhuri Lake","Enjoy the scenic beauty","Return to Tawang"
"","","","","","","","","4","Visit Urgelling Monastery and Ani Gompa","Explore the local markets","Relax"
"","","","","","","","","5","Travel back to Guwahati/Tezpur","","Departure"
"Puri","3","temples","beaches","spirituality","","","","1","Visit Jagannath Temple","Relax on Puri Beach","Explore the local markets"
"","","","","","","","","2","Day trip to Konark Sun Temple","Visit Chandrabhaga Beach","Return to Puri"
"","","","","","","","","3","Visit Raghurajpur heritage village","Explore the Chilika Lake","Departure"
"Konark","1","temples","architecture","","","","","1","Visit the Konark Sun Temple","Explore the Archaeological Survey of India Museum","Visit Chandrabhaga Beach"
"Rameshwaram","2","temples","spirituality","history","","","","1","Visit Ramanathaswamy Temple and take a holy dip in Agnitheertham","Explore Dhanushkodi","Visit APJ Abdul Kalam Memorial"
"","","","","","","","","2","Visit the five-faced Hanuman temple","Explore Pamban Bridge","Departure"
"Kanyakumari","2","beaches","spirituality","sunsets","","","","1","Visit Vivekananda Rock Memorial and Thiruvalluvar Statue","Explore Kanyakumari Temple","Witness the sunset at the Triveni Sangam"
"","","","","","","","","2","Witness the sunrise","Visit the Gandhi Memorial Mandapam","Departure"
"Tirupati","2","temples","pilgrimage","spirituality","","","","1","Visit Sri Venkateswara Temple in Tirumala","Explore other temples in Tirumala","Return to Tirupati"
"","","","","","","","","2","Visit Sri Govindarajaswamy Temple and Sri Padmavathi Ammavari Temple","Explore the local markets","Departure"
"Vaishno Devi","3","pilgrimage","trekking","spirituality","","","","1","Arrive in Katra and start the trek to Vaishno Devi Bhawan","Continue the trek","Reach Bhawan and have darshan"
"","","","","","","","","2","Visit Bhairon Nath Temple","Trek back to Katra","Rest in Katra"
"","","","","","","","","3","Explore Katra","Departure",""
"Haridwar","2","spirituality","temples","ganga river","","","","1","Take a holy dip in the Ganges at Har Ki Pauri","Visit Mansa Devi Temple and Chandi Devi Temple","Witness the Ganga Aarti"
"","","","","","","","","2","Visit various ashrams and temples","Explore the local markets","Departure"
"Mathura-Vrindavan","2","temples","spirituality","history","","","","1","Visit Krishna Janmabhoomi Temple in Mathura","Explore Dwarkadheesh Temple and Vishram Ghat","Travel to Vrindavan"
"","","","","","","","","2","Visit Banke Bihari Temple and ISKCON Temple in Vrindavan","Explore Prem Mandir and other temples","Departure"
"Bodh Gaya","2","buddhism","spirituality","history","","","","1","Visit the Mahabodhi Temple and the Bodhi Tree","Explore various monasteries built by different countries","Meditation session"
"","","","","","","","","2","Visit the Great Buddha Statue","Explore the archaeological museum","Departure"
"Pushkar","2","Spiritual","Culture","Shopping","","","","1","Visit the Brahma Temple, the only one in the world","Explore the Pushkar Lake and its 52 bathing ghats","Walk through the main Pushkar market for shopping"
"","","","","","","","","2","Hike to Savitri Temple for panoramic views","Camel ride in the nearby desert landscape","Attend the evening aarti at the ghats"
"Spiti Valley","8","Adventure","Nature","Photography","Culture","","","1","Travel from Manali to Kaza","Acclimatize in Kaza","Explore Kaza market"
"","","","","","","","","2","Visit the iconic Key Monastery","Explore the villages of Kibber and Chicham","Stargazing in Kaza"
"","","","","","","","","3","Drive to Langza, famous for its Buddha statue","Visit Hikkim, home to the world's highest post office","Homestay experience in Komic, one of the world's highest villages"
"","","","","","","","","4","Travel to Tabo","Explore Tabo Monastery, a UNESCO World Heritage site","Relax in Tabo"
"","","","","","","","","5","Visit Dhankar Monastery, perched on a cliff","Hike to Dhankar Lake","Return to Kaza"
"","","","","","","","","6","Explore the Pin Valley National Park","Visit the village of Mudh","Cultural interaction with locals"
"","","","","","","","","7","Drive towards Chandratal Lake","Camping near Chandratal Lake","Enjoy the pristine beauty of the lake"
"","","","","","","","","8","Travel back to Manali via Rohtang Pass","Journey back","Arrive in Manali"
"Dharamshala & Mcleodganj","3","Spiritual","Nature","Culture","Food","","","1","Explore Mcleodganj main square and visit the Dalai Lama Temple (Tsuglagkhang Complex)","Walk to Bhagsu Nag Temple and waterfall","Enjoy dinner at a Tibetan restaurant"
"","","","","","","","","2","Trek to Triund (9km, 4-5 hours)","Enjoy the stunning views of the Dhauladhar range","Camping under the stars at Triund"
"","","","","","","","","3","Trek down from Triund","Visit the Norbulingka Institute and Dharamshala Cricket Stadium","Explore the cafes of Dharamkot"
"Gokarna","3","Beach","Nature","Spiritual","Adventure","","","1","Arrive in Gokarna and check into a beach hut","Relax at the main Gokarna Beach","Visit Mahabaleshwar Temple"
"","","","","","","","","2","Beach trek from Kudle Beach to Om Beach","Continue trek to Half Moon Beach and Paradise Beach","Enjoy the sunset from a cliff-side cafe at Om Beach"
"","","","","","","","","3","Try surfing or other water sports","Explore the local market","Relax and enjoy the coastal vibe"
"Coorg (Kodagu)","3","Nature","Photography","Food","Culture","","","1","Arrive in Madikeri and visit Raja's Seat for panoramic views","Explore Abbey Falls","Walk through a coffee plantation"
"","","","","","","","","2","Visit the Dubare Elephant Camp for an elephant interaction","Explore the Namdroling Monastery (Golden Temple) in Bylakuppe","Enjoy traditional Kodava cuisine"
"","","","","","","","","3","Drive to Talakaveri, the source of the river Kaveri","Visit Mandalpatti viewpoint for breathtaking views","Shopping for local spices and coffee"
"Hyderabad","3","History","Food","Shopping","Culture","","","1","Explore the iconic Charminar and the bustling Laad Bazaar","Visit the grand Chowmahalla Palace","Enjoy authentic Hyderabadi Biryani for dinner"
"","","","","","","","","2","Visit the magnificent Golconda Fort","Explore the Qutb Shahi Tombs","Light and Sound show at Golconda Fort"
"","","","","","","","","3","Visit the Salar Jung Museum","Relax at Hussain Sagar Lake and see the Buddha statue","Explore the modern side of Hyderabad: HITEC City and GVK One Mall"
"Ahmedabad","2","History","Culture","Food","","","","1","Take a heritage walk through the old city's Pols","Visit the Sabarmati Ashram","Explore the night market at Manek Chowk"
"","","","","","","","","2","Visit the Adalaj Stepwell","Explore the Calico Museum of Textiles","Enjoy the riverfront at Sabarmati Riverfront"
"Port Blair","3","History","Beach","Nature","","","","1","Arrive and check in, visit Corbyn's Cove Beach","Explore the Cellular Jail (Kala Pani)","Attend the Sound and Light Show at the Cellular Jail"
"","","","","","","","","2","Ferry to Ross Island to see British-era ruins","Ferry to North Bay Island for snorkeling and coral viewing","Shopping for souvenirs at Aberdeen Bazaar"
"","","","","","","","","3","Visit Chidiya Tapu for bird watching and sunset views","Explore the Samudrika Naval Marine Museum","Relax and prepare for departure"
"Havelock Island (Swaraj Dweep)","3","Beach","Adventure","Photography","Nature","","","1","Arrive by ferry from Port Blair","Check in and relax at your resort","Visit Radhanagar Beach (Beach No. 7) for a spectacular sunset"
"","","","","","","","","2","Scuba diving or sea walking at Elephant Beach","Snorkeling and exploring the corals at Elephant Beach","Dinner at a seaside restaurant"
"","","","","","","","","3","Visit Kalapathar Beach for sunrise","Kayaking through the mangroves","Relax on the beach before departing the next day"
"Auli","4","Adventure","Nature","Photography","Winter Sports","","","1","Travel from Rishikesh/Haridwar to Joshimath","Rest in Joshimath","Explore Joshimath town"
"","","","","","","","","2","Take the cable car (gondola) from Joshimath to Auli","Check in and enjoy the panoramic views of Himalayan peaks like Nanda Devi","Stroll around Auli's meadows"
"","","","","","","","","3","Skiing lessons and practice on the slopes","Trek to Gorson Bugyal for even better views","Bonfire and dinner"
"","","","","","","","","4","Visit Auli Artificial Lake","Take the cable car back to Joshimath","Begin return journey"
"Thekkady (Periyar National Park)","2","Nature","Wildlife","Adventure","Food","","","1","Arrive in Thekkady (Kumily) and check in","Boat safari on Periyar Lake to spot wildlife","Watch a traditional Kathakali or Kalaripayattu performance"
"","","","","","","","","2","Go for a guided jungle trek or nature walk","Visit a spice plantation and learn about local spices","Shopping for spices and local handicrafts"
"Varkala","3","Beach","Spiritual","Food","Photography","","","1","Arrive in Varkala, check in to a cliff-side hotel","Descend to Varkala Beach (Papanasam Beach)","Explore the shops and cafes along the North Cliff"
"","","","","","","","","2","Visit the 2000-year-old Janardanaswamy Temple","Take a dip in the holy waters of the beach","Enjoy a fresh seafood dinner watching the sunset from the cliff"
"","","","","","","","","3","Yoga or Ayurveda session","Visit Kappil Beach and Backwaters","Relax and enjoy the bohemian vibe"
"Lucknow","2","History","Food","Culture","","","","1","Explore Bara Imambara and its Bhulbhulaiya (labyrinth)","Visit the Chota Imambara","Food walk in the old city for kebabs and biryani"
"","","","","","","","","2","Visit the British Residency, a key site of the 1857 revolt","Explore Hazratganj for shopping and modern Lucknow","Enjoy a cup of famous Lucknowi tea and street food"
"Orchha","2","History","Architecture","Photography","Spiritual","","","1","Explore the Orchha Fort complex, including Jahangir Mahal and Raja Mahal","Visit the Chaturbhuj Temple","Watch the sunset over the cenotaphs (Chhatris) by the Betwa River"
"","","","","","","","","2","Visit the Ram Raja Temple, where Rama is worshipped as a king","Explore the Laxminarayan Temple, known for its murals","Enjoy the tranquil riverside ambiance"
"Pune","2","History","Food","Nightlife","Culture","","","1","Explore the Shaniwar Wada, the seat of the Peshwas","Visit the Aga Khan Palace, where Mahatma Gandhi was imprisoned","Explore the vibrant nightlife and food scene in Koregaon Park"
"","","","","","","","","2","Hike to Sinhagad Fort for history and panoramic views","Visit the Dagdusheth Halwai Ganpati Temple","Food tour on FC Road and JM Road"
"Great Rann of Kutch","3","Nature","Culture","Photography","Shopping","","","1","Arrive in Bhuj, explore Aina Mahal and Prag Mahal","Travel to a tent city or resort near the White Rann","Witness the sunset over the salt desert"
"","","","","","","","","2","Experience the sunrise at the White Rann","Visit Kalo Dungar (Black Hill) for a panoramic view of the Rann","Enjoy a cultural program with folk music and dance"
"","","","","","","","","3","Visit nearby handicraft villages like Nirona (Rogan Art) and Hodka","Shopping for local crafts in Bhuj","Departure from Bhuj"
"Mahabalipuram","2","History","Architecture","Beach","Photography","","","1","Explore the Shore Temple, a UNESCO World Heritage site","Visit the Pancha Rathas (Five Rathas)","Relax at Mahabalipuram Beach"
"","","","","","","","","2","Explore Arjuna's Penance and Krishna's Butterball","Visit the various cave temples and the lighthouse","Shopping for stone sculptures and local crafts"
"Wayanad","3","Nature","Adventure","Photography","History","","","1","Arrive in Wayanad, visit Pookode Lake for boating","Explore the Lakkidi View Point","Check into a treehouse resort"
"","","","","","","","","2","Trek to Chembra Peak (heart-shaped lake on the way)","Visit Soochipara Falls","Relax and enjoy the natural surroundings"
"","","","","","","","","3","Explore the Edakkal Caves with ancient petroglyphs","Visit the Wayanad Heritage Museum","Drive to Banasura Sagar Dam, the largest earthen dam in India"
"Kasol","3","Nature","Adventure","Food","Photography","","","1","Arrive in Kasol, check in and relax","Take a walk along the Parvati River","Explore the cafes of Kasol and try Israeli food"
"","","","","","","","","2","Trek to the village of Chalal","Continue the trek to Katagla","Bonfire and music by the river"
"","","","","","","","","3","Day trip to Manikaran Sahib Gurudwara and its hot springs","Explore the village of Tosh","Return to Kasol for departure"
"Ziro Valley","4","Culture","Nature","Photography","Music","","","1","Travel from Guwahati/Itanagar to Ziro","Check in and acclimatize","Stroll through the local market in Hapoli"
"","","","","","","","","2","Explore the villages of the Apatani tribe, like Hong and Hari","Learn about the unique Apatani culture and see the facial tattoos","Interact with the local community"
"","","","","","","","","3","Visit the Talley Valley Wildlife Sanctuary","Explore the vast paddy-cum-fish farms","Enjoy local cuisine and rice beer"
"","","","","","","","","4","Visit the Shiv Linga at Kardo Forest","Photography walk through the pine groves","Relax before the journey back"
"Cherrapunji (Sohra)","3","Nature","Adventure","Photography","","","","1","Travel from Shillong to Cherrapunji","Visit the Nohkalikai Falls, the tallest plunge waterfall in India","Explore the Mawsmai Caves"
