"input__destination","input__duration","input__interests__001","input__interests__002","input__interests__003","input__interests__004","input__interests__005","output__optimized_itinerary__state","output__optimized_itinerary__days__day","output__optimized_itinerary__days__morning","output__optimized_itinerary__days__afternoon","output__optimized_itinerary__days__evening"
"","","","","","","","","2","Trek to the Double Decker Living Root Bridge in Nongriat village","Swim in the natural pools near the bridge","Hike back up or stay overnight in Nongriat"
"","","","","","","","","3","Visit the Seven Sisters Falls and Dainthlen Falls","Explore the Arwah Caves","Return to Shillong or Guwahati"
"Gulmarg","3","Adventure","Nature","Photography","Winter Sports","","","1","Arrive from Srinagar and check in","Take the Gulmarg Gondola (Phase 1) to Kongdoori","Walk through the meadows and explore the local market"
"","","","","","","","","2","Take the Gondola (Phase 2) to Apharwat Peak for stunning views","Skiing/snowboarding in winter or hiking in summer","Relax and enjoy the alpine atmosphere"
"","","","","","","","","3","Visit St. Mary's Church and the Maharani Temple","Enjoy a round of golf at the highest golf course in the world (in summer)","Departure for Srinagar"
"Bikaner","2","History","Culture","Food","","","","1","Explore the magnificent Junagarh Fort","Visit the Lalgarh Palace and Museum","Walk through the old city and try local snacks like Bikaneri Bhujia"
"","","","","","","","","2","Visit the Karni Mata Temple (Rat Temple) in Deshnoke","Explore the National Research Centre on Camel","Enjoy a traditional Rajasthani dinner"
"Gwalior","2","History","Architecture","Music","","","","1","Explore the massive Gwalior Fort","Visit Man Singh Palace, Gujari Mahal, and Saas Bahu Temples within the fort","Attend the Sound and Light show at the fort"
"","","","","","","","","2","Visit Jai Vilas Palace Museum, known for its opulent Durbar Hall","Explore the tomb of Tansen, the legendary musician","Listen to a classical music performance if available"
"Bhopal","3","History","Nature","Culture","","","","1","Explore the Upper Lake and Lower Lake","Visit Taj-ul-Masajid, one of the largest mosques in India","Walk through the old city's bazaars"
"","","","","","","","","2","Day trip to the Sanchi Stupas, a UNESCO World Heritage site","Explore the Buddhist monuments and the museum","Return to Bhopal"
"","","","","","","","","3","Day trip to Bhimbetka Rock Shelters, another UNESCO site with prehistoric paintings","Explore the ancient rock art","Relax by the lake in Bhopal"
"Nashik","2","Spiritual","Food","Nature","","","","1","Visit the temples and ghats along the Godavari River, like Ramkund","Explore the Pandavleni Caves","Visit a vineyard like Sula or York for a wine tasting tour"
"","","","","","","","","2","Visit the Trimbakeshwar Shiva Temple, one of the 12 Jyotirlingas","Explore the area around Trimbakeshwar","Enjoy the sunset from a vineyard restaurant"
"Dwarka","2","Spiritual","History","Beach","","","","1","Visit the main Dwarkadhish Temple (Jagat Mandir)","Take a holy dip in the Gomti River at Gomti Ghat","Attend the evening aarti at Dwarkadhish Temple"
"","","","","","","","","2","Take a ferry to Bet Dwarka island to visit more temples","Visit the Nageshwar Jyotirlinga Temple on the way back","Relax at Dwarka Beach"
"Somnath","1","Spiritual","History","Beach","","","","1","Visit the Somnath Temple, the first of the 12 Jyotirlingas","Explore the nearby Bhalka Tirth, where Lord Krishna is said to have left his mortal form","Attend the evening Sound and Light Show at Somnath Temple and watch the sunset"
"Kohima","3","Culture","History","Nature","","","","1","Arrive in Kohima, visit the Kohima War Cemetery","Explore the Nagaland State Museum to understand Naga culture","Walk through the local market"
"","","","","","","","","2","Day trip to Khonoma Green Village, known for its conservation efforts","Learn about the history and culture of the Angami tribe","Return to Kohima"
"","","","","","","","","3","Day trip to Kisama Heritage Village, the venue for the Hornbill Festival","Hike to the top of Japfu Peak (if time and fitness permit)","Enjoy a traditional Naga meal"
"Lakshadweep","5","Beach","Adventure","Nature","Photography","","","1","Fly to Agatti Island from Kochi","Transfer to your resort and relax","Enjoy the pristine beach and sunset"
"","","","","","","","","2","Water sports: kayaking, sailing, or glass-bottom boat tour","Explore Agatti island on a scooter","Stargazing on the beach"
"","","","","","","","","3","Day trip to Bangaram Island","Snorkeling in the crystal-clear lagoon","Return to Agatti"
"","","","","","","","","4","Scuba diving for certified divers or a discover scuba session for beginners","Relax on the beach, read a book","Farewell dinner with local seafood"
"","","","","","","","","5","Last swim in the lagoon","Fly back to Kochi",""
"Visakhapatnam (Vizag)","3","Beach","Nature","History","Photography","","","1","Explore RK Beach and visit the Submarine Museum (INS Kursura)","Visit the Kailasagiri hill park for panoramic city views","Enjoy the evening breeze at Tenneti Park"
"","","","","","","","","2","Drive along the scenic beach road to Bheemili","Explore the tranquil Rushikonda Beach","Relax at a beachside cafe"
"","","","","","","","","3","Day trip to the Araku Valley (can be done by a scenic train journey)","Visit the Borra Caves","Return to Visakhapatnam"
"Thanjavur (Tanjore)","2","History","Architecture","Spiritual","Culture","","","1","Visit the Brihadeeswarar Temple, a magnificent UNESCO World Heritage site","Explore the Thanjavur Maratha Palace and its art gallery","Witness the evening rituals at the temple"
"","","","","","","","","2","Visit the Saraswathi Mahal Library, one of the oldest libraries in Asia","Explore the local market to see Tanjore paintings and bronze statues being made","Enjoy traditional Chettinad cuisine"
"Dawki","2","Nature","Adventure","Photography","","","","1","Travel from Shillong to Dawki","Boating on the crystal-clear Umngot River","Camping by the riverside"
"","","","","","","","","2","Visit the India-Bangladesh border at Tamabil","Explore the nearby Shnongpdeng village for more adventure activities like kayaking and zip-lining","Return journey to Shillong"
"Chikmagalur","2","Nature","Adventure","Photography","","","","1","Arrive and check into a coffee estate homestay","Hike to Mullayanagiri, the highest peak in Karnataka","Enjoy the sunset and relax amidst the plantations"
"","","","","","","","","2","Visit Jhari Waterfalls and Baba Budangiri","Explore Hebbe Falls (requires a jeep ride)","Coffee tasting session and departure"
"Badami","2","History","Architecture","Photography","","","","1","Explore the Badami Cave Temples, a set of four rock-cut temples","Walk around the Agastya Lake and visit the Bhutanatha group of temples","Climb up to the fort for sunset views"
"","","","","","","","","2","Day trip to the UNESCO World Heritage sites of Pattadakal","Explore the ancient temple town of Aihole, the cradle of Indian temple architecture","Return to Badami for departure"
"Tarkarli","3","Beach","Adventure","Food","","","","1","Arrive and check into a beachside resort","Relax on Tarkarli Beach","Enjoy fresh Malvani seafood"
"","","","","","","","","2","Scuba diving and snorkeling at Tsunami Island","Enjoy various water sports like jet ski, banana boat ride","Visit the Sindhudurg Fort, a historic sea fort"
"","","","","","","","","3","Boat ride in the Karli River backwaters","Visit the Rock Garden","Departure"
"Alappuzha (Alleppey) - Extended","3","Nature","Beach","Food","Culture","","","1","Arrive and check into a houseboat by noon","Cruise through the serene backwaters of Vembanad Lake","Enjoy an authentic Kerala meal and overnight stay on the houseboat"
"","","","","","","","","2","After breakfast, check out from the houseboat. Take a canoe ride through narrower canals.","Check into a backwater resort. Explore the local village life on foot.","Watch the sunset over the paddy fields"
"","","","","","","","","3","Visit Alleppey Beach and the old lighthouse","Explore the Revi Karunakaran Museum","Enjoy a seafood dinner at a beachside cafe"
"Kanchipuram","1","Spiritual","History","Shopping","","","","1","Visit Kailasanathar Temple and Ekambareswarar Temple","Explore Varadharaja Perumal Temple and Kamakshi Amman Temple","Shopping for world-famous Kanchipuram silk sarees"
"Sanchi","1","History","Spiritual","Architecture","","","","1","Explore the Great Stupa (Stupa No. 1) and its intricately carved gateways (Toranas)","Visit Stupa No. 2 and Stupa No. 3, and the Ashokan pillar","Explore the ASI museum at the base of the hill"
"Diu","2","Beach","History","Nightlife","","","","1","Explore the massive Diu Fort and Panikota Fort","Visit St. Paul's Church and the Diu Museum","Relax at Jallandhar Beach or Chakratirth Beach"
"","","","","","","","","2","Relax and enjoy water sports at the beautiful Nagoa Beach","Explore the Naida Caves","Enjoy the relaxed nightlife with affordable drinks"
"Imphal","3","Culture","Nature","History","","","","1","Arrive in Imphal. Visit the Kangla Fort.","Explore the Ima Keithel (Mother's Market), run entirely by women.","Relax and try Manipuri cuisine"
"","","","","","","","","2","Day trip to Loktak Lake, the largest freshwater lake in Northeast India","Visit Keibul Lamjao National Park, the world's only floating national park, home to the Sangai deer","Return to Imphal"
"","","","","","","","","3","Visit the INA Memorial Complex in Moirang","Explore the Andro Cultural Village","Departure"
"Aizawl","2","Culture","Nature","Photography","","","","1","Arrive in Aizawl. Visit the Mizoram State Museum.","Hike to Durtlang Hills for a panoramic view of the city.","Explore Bara Bazaar, the main shopping hub."
"","","","","","","","","2","Day trip to Reiek Tlang (Reiek Peak) for trekking and nature views.","Explore the model Mizo village at the foot of the peak.","Enjoy a quiet evening and local food."
"Agartala","2","History","Culture","Nature","","","","1","Visit the Ujjayanta Palace, the former royal palace of Tripura.","Explore the Neermahal Water Palace.","Visit the Jagannath Temple."
"","","","","","","","","2","Day trip to Sepahijala Wildlife Sanctuary.","Explore the ancient rock carvings and murals at Unakoti.","Return to Agartala and shop for bamboo handicrafts."
"Neil Island (Shaheed Dweep)","2","Beach","Nature","Photography","","","","1","Arrive by ferry from Port Blair or Havelock.","Visit Bharatpur Beach for swimming and snorkeling.","Witness the sunset at Laxmanpur Beach."
"","","","","","","","","2","Visit the Natural Bridge formation at low tide.","Relax at Sitapur Beach and watch the sunrise.","Enjoy the tranquil island life before departure."
"Tiruchirappalli (Trichy)","2","Spiritual","History","Culture","","","","1","Climb the Rockfort Temple for panoramic city views.","Visit the Sri Ranganathaswamy Temple in Srirangam, one of the largest temple complexes in the world.","Explore the temple town of Srirangam."
"","","","","","","","","2","Visit the Jambukeswarar Temple (Thiruvanaikaval).","Explore St. Joseph's Church and the local markets.","Enjoy local Tamil cuisine."
"Alwar","2","History","Nature","Adventure","","","","1","Visit the haunted Bhangarh Fort.","Explore the Bala Quila (Alwar Fort).","Enjoy boating at Siliserh Lake."
"","","","","","","","","2","Go on a safari in Sariska Tiger Reserve.","Visit Moosi Maharani Ki Chhatri and the City Palace.","Try the famous Alwar 'milk cake' (Kalakand)."
"Valley of Flowers National Park","6","Nature","Trekking","Photography","","","","1","Travel from Rishikesh/Haridwar to Joshimath.","Rest and acclimatize.",""
"","","","","","","","","2","Drive from Joshimath to Govindghat, then trek to Ghangaria.","Continue the trek.","Overnight stay in Ghangaria."
"","","","","","","","","3","Trek to the Valley of Flowers.","Explore the valley and its diverse flora.","Trek back to Ghangaria."
"","","","","","","","","4","Trek to Hemkund Sahib, a high-altitude Sikh pilgrimage site.","Visit the lake and Gurudwara.","Trek back down to Ghangaria."
"","","","","","","","","5","Trek back from Ghangaria to Govindghat.","Drive back to Joshimath.","Relax."
"","","","","","","","","6","Drive back to Rishikesh/Haridwar.","",""
"Amritsar - Extended","3","Spiritual","History","Food","Culture","","","1","Visit the Golden Temple. Spend time in serene reflection.","Partake in the 'Langar' (community kitchen).","Explore the Golden Temple complex, beautifully lit up at night."
"","","","","","","","","2","Visit Jallianwala Bagh.","Travel to the Wagah Border for the evening Beating Retreat ceremony.","Dinner at a traditional Punjabi dhaba."
"","","","","","","","","3","Explore the Partition Museum.","Go on a food tour to taste Amritsari Kulcha, Lassi, and Jalebi.","Shopping for Phulkari dupattas and Juttis in the local market."
"Meghalaya - Offbeat","5","Nature","Adventure","Photography","Culture","","","1","Arrive in Shillong, drive to Mawphlang Sacred Forest.","Guided walk through the sacred grove.","Drive to Cherrapunji (Sohra) and check in."
"","","","","","","","","2","Trek to the Double Decker Living Root Bridge in Nongriat.","Continue hike to Rainbow Falls.","Overnight stay in a Nongriat homestay."
"","","","","","","","","3","Trek back up from Nongriat.","Drive to Mawlynnong, Asia's Cleanest Village.","Stay in a homestay in Mawlynnong."
"","","","","","","","","4","Visit the Living Root Bridge in Riwai village.","Drive to Dawki and enjoy boating on the Umngot River.","Drive back to Shillong."
"","","","","","","","","5","Explore Shillong's cafes and markets.","Visit Elephant Falls.","Departure."
"Chittorgarh","1","History","Photography","Culture","","","","1","Explore the vast Chittorgarh Fort, a UNESCO World Heritage Site","Visit Vijay Stambha (Victory Tower) and Kirti Stambha (Tower of Fame)","Visit the Padmini's Palace and witness the Sound and Light show at the fort"
"Mandu (Mandavgarh)","2","History","Architecture","Photography","","","","1","Explore the Royal Enclave: Jahaz Mahal (Ship Palace) and Hindola Mahal (Swing Palace)","Visit Hoshang Shah's Tomb, an inspiration for the Taj Mahal","Enjoy the sunset from Rani Roopmati's Pavilion"
"","","","","","","","","2","Visit the Jami Masjid and Ashrafi Mahal","Explore the Rewa Kund group of monuments, including Baz Bahadur's Palace","Relax and enjoy the historical ambiance of the abandoned city"
"Shekhawati (Mandawa)","2","Culture","History","Photography","Art","","","1","Arrive in Mandawa and explore its frescoed havelis like the Mandawa Fort and Hanuman Prasad Goenka Haveli","Walk through the town to discover more painted mansions","Enjoy a traditional Rajasthani dinner at a heritage hotel"
"","","","","","","","","2","Drive to nearby towns like Nawalgarh or Fatehpur to see more elaborate havelis","Visit the Podar Haveli Museum in Nawalgarh","Shop for local handicrafts"
"Bharatpur (Keoladeo National Park)","2","Nature","Photography","Wildlife","","","","1","Arrive in Bharatpur, check-in, and have lunch","Go for an evening bird-watching session inside Keoladeo National Park on a cycle rickshaw","Relax at the lodge"
"","","","","","","","","2","Early morning bird-watching walk or boat ride (seasonal) in the park to see migratory birds","Visit the Lohagarh Fort and Ganga Mandir in Bharatpur town","Departure"
"Dehradun","2","Nature","Food","Spiritual","","","","1","Visit Robber's Cave (Guchu Pani), a natural river cave formation","Explore the Forest Research Institute (FRI) with its grand colonial architecture","Visit the Tibetan Buddhist Temple in Clement Town"
"","","","","","","","","2","Visit Sahastradhara, known for its waterfalls and sulphur springs","Explore Paltan Bazaar for shopping and local snacks","Enjoy dinner at one of the city's popular cafes"
"Pahalgam","3","Nature","Photography","Adventure","","","","1","Arrive in Pahalgam, check in and relax by the Lidder River","Explore the main Pahalgam market","Enjoy a leisurely walk in the meadows"
"","","","","","","","","2","Hire a local taxi to visit Betaab Valley","Continue to Chandanwari, the starting point of the Amarnath Yatra","Return to Pahalgam and relax"
"","","","","","","","","3","Go for a pony ride to Baisaran Valley, also known as 'Mini Switzerland'","Visit Aru Valley for its scenic beauty","Enjoy a final Kashmiri meal before departure"
"Sonamarg","2","Nature","Adventure","Photography","","","","1","Travel from Srinagar to Sonamarg, enjoying the scenic drive","Take a pony ride to Thajiwas Glacier","Walk along the Sindh River"
"","","","","","","","","2","Drive to Zoji La pass for breathtaking mountain views","Explore the local meadows and enjoy the pristine environment","Travel back towards Srinagar or onwards to Ladakh"
"Chopta","3","Adventure","Nature","Spiritual","Photography","","","1","Travel from Rishikesh/Haridwar to Chopta","Check into a campsite and acclimatize","Enjoy the sunset and starry sky"
"","","","","","","","","2","Early morning trek to Tungnath Temple, the highest Shiva temple in the world","Continue the trek to Chandrashila Peak for a 360-degree Himalayan view","Trek back down to Chopta and relax around a bonfire"
"","","","","","","","","3","Visit Deoria Tal, a beautiful high-altitude lake","Explore the meadows and wildlife in the region","Begin the return journey"
"Kausani","2","Nature","Photography","Relaxation","","","","1","Arrive in Kausani and check in. Marvel at the panoramic view of the Himalayas","Visit the Anasakti Ashram (Gandhi Ashram)","Watch the spectacular sunset over the Himalayan peaks"
"","","","","","","","","2","Visit a local tea estate and the Kausani Shawl Factory","Take a nature walk through the pine forests","Enjoy a quiet evening stargazing"
"Pelling","3","Nature","Spiritual","Photography","","","","1","Arrive in Pelling and enjoy the magnificent view of Mt. Kanchenjunga","Visit the Pemayangtse Monastery","Explore the local market"
"","","","","","","","","2","Visit the Rabdentse Ruins, the former capital of Sikkim","Walk on the Pelling Skywalk and visit the giant Chenrezig statue","Relax and enjoy the mountain views"
"","","","","","","","","3","Visit the Kanchenjunga Falls and Khecheopalri Lake","Explore the Singshore Bridge, one of the highest bridges in Asia","Departure"
"Majuli","2","Culture","Nature","Photography","","","","1","Take a ferry from Jorhat to Majuli island","Check into a traditional bamboo cottage and visit the Auniati Satra","Witness a cultural performance at a Satra"
"","","","","","","","","2","Visit Samaguri Satra to see the traditional mask-making craft","Explore the island on a scooter, visiting local Mishing tribe villages","Enjoy the sunset over the Brahmaputra river before taking the ferry back"
"Nalanda and Rajgir","2","History","Spiritual","Culture","","","","1","Travel to Nalanda. Explore the ruins of Nalanda University, a UNESCO World Heritage site","Visit the Nalanda Archaeological Museum and the Xuan Zang Memorial Hall","Travel to nearby Rajgir and check in"
"","","","","","","","","2","In Rajgir, take the ropeway to Vishwa Shanti Stupa on Ratnagiri Hill","Visit Gridhakuta (Vulture's Peak) and the hot springs (Brahmakund)","Explore other sites like the Cyclopean Wall and Bimbisara's Jail"
"Bishnupur","2","History","Art","Culture","Photography","","","1","Arrive in Bishnupur. Visit the Rasmancha pavilion.","Explore the Jor-Bangla Temple and Pancha Ratna Temple","Shop for Baluchari sarees and terracotta handicrafts"
"","","","","","","","","2","Visit the Madanmohan Temple and Shyam Rai Temple","Explore the Bishnupur Museum (Acharya Jogesh Chandra Purakriti Bhawan)","Enjoy the rustic charm of the town"
"Shantiniketan","2","Culture","History","Art","","","","1","Arrive and explore the Visva-Bharati University campus","Visit the Uttarayan Complex where Rabindranath Tagore lived","Attend a local Baul music performance if available"
"","","","","","","","","2","Visit the Kala Bhavana (Art College) and Sangeet Bhavana (Music College)","Explore the Kopai River and the Sonajhuri forest, especially during the Saturday market (haat)","Shop for local handicrafts"
"Gandikota","1","Nature","Photography","Adventure","History","","","1","Arrive and explore the Gandikota Fort","Visit the Juma Masjid and Ranganatha Swamy Temple inside the fort. Marvel at the Penna River gorge ('Grand Canyon of India')","Camping and kayaking near the gorge, or stay at the local Haritha hotel"
"Lepakshi","1","History","Spiritual","Photography","Art","","","1","Arrive in Lepakshi. Visit the Veerabhadra Temple.","Marvel at the architectural wonders like the 'Hanging Pillar' and intricate carvings.","Visit the giant monolithic Nandi statue, one of the largest in the world."
"Yercaud","2","Nature","Relaxation","Photography","","","","1","Arrive in Yercaud. Go for boating in the Emerald Lake (Yercaud Lake).","Visit the Lady's Seat viewpoint for panoramic views of the ghats","Explore the Rose Garden and Anna Park"
"","","","","","","","","2","Drive up to the Pagoda Point and Karadiyur View Point","Visit the Kiliyur Falls (best after monsoon)","Walk through a coffee plantation and relax"
"Dhanushkodi","1","History","Photography","Beach","Spiritual","","","1","Travel from Rameshwaram to Dhanushkodi by jeep.","Explore the ruins of the ghost town (church, railway station, etc.).","Visit the Land's End (Arichal Munai) where the Bay of Bengal and Indian Ocean meet."
"Murudeshwar","1","Spiritual","Beach","Photography","","","","1","Visit the Murudeshwar Temple and the towering 123-feet Shiva statue.","Take the elevator up the temple's gopuram for a panoramic view of the statue and the sea.","Relax at Murudeshwar Beach and try some water sports."
"Udupi","2","Spiritual","Food","Beach","","","","1","Visit the famous Udupi Sri Krishna Matha.","Explore the nearby Malpe Beach and take a boat to St. Mary's Island to see the columnar basaltic lava formations.","Savour authentic Udupi cuisine at a local restaurant."
"","","","","","","","","2","Visit Kaup Beach and its lighthouse.","Explore the tranquil Delta Beach (Kodi Bengre) where the river meets the sea.","Relax and enjoy the coastal atmosphere."
"Dandeli","3","Adventure","Nature","Wildlife","","","","1","Arrive in Dandeli and check into a jungle resort.","Go for a jungle safari in the Dandeli Wildlife Sanctuary.","Enjoy a bonfire and a nature presentation at the resort."
"","","","","","","","","2","Experience thrilling white-water rafting on the Kali River.","Try other activities like kayaking, coracle ride, or zip-lining.","Go for a night nature walk."
"","","","","","","","","3","Visit Syntheri Rocks and Kavala Caves.","Natural Jacuzzi bath in the river.","Departure."
"Bijapur (Vijayapura)","1","History","Architecture","","","","","1","Visit the magnificent Gol Gumbaz and experience its whispering gallery.","Explore Ibrahim Rauza, often called the 'Taj Mahal of the Deccan'.","Visit other historical sites like Jama Masjid and Bara Kaman."
"Matheran","2","Nature","Photography","Relaxation","Trekking","","","1","Arrive at Dasturi Naka and walk or take a horse ride into the automobile-free Matheran.","Ride the heritage toy train (if operational).","Walk to Porcupine Point (Sunset Point) to watch the sunset."
"","","","","","","","","2","Explore various viewpoints like Panorama Point, Louisa Point, and Echo Point.","Walk through the forested paths and visit Charlotte Lake.","Shop for local products like Chikki and honey."
"Ganpatipule","2","Spiritual","Beach","Relaxation","","","","1","Arrive in Ganpatipule and visit the Swayambhu Ganpati Temple on the beach.","Relax and swim at Ganpatipule Beach.","Walk around the temple base (Pradakshina)."
"","","","","","","","","2","Explore nearby beaches like Aare Ware Beach.","Visit the Prachin Konkan Museum.","Enjoy the peaceful coastal atmosphere."
"Igatpuri","2","Nature","Adventure","Spiritual","","","","1","Arrive in Igatpuri. Visit the Dhammagiri (Vipassana International Academy).","Trek to Tringalwadi Fort.","Relax and enjoy the scenic beauty of the Sahyadris."
"","","","","","","","","2","Visit the Bhatsa River Valley and Camel Valley viewpoint.","Explore the Amruteshwar Temple.","Enjoy the sunset by the Vaitarna Dam."
"Bhandardara","2","Nature","Photography","Adventure","","","","1","Arrive in Bhandardara. Visit Wilson Dam and Arthur Lake.","Enjoy a boat ride on Arthur Lake.","Visit Umbrella Falls (seasonal) and relax."
"","","","","","","","","2","Visit Randha Falls.","Trek to Ratangad Fort or visit Amruteshwar Temple.","Watch the sunset and enjoy the serene environment."
"Saputara","2","Nature","Culture","Relaxation","","","","1","Arrive in Saputara. Take the ropeway to Sunset Point.","Go boating in Saputara Lake.","Visit the Artist Village to see tribal artifacts."
"","","","","","","","","2","Visit the Step Garden and Rose Garden.","Explore Gira Waterfalls (seasonal) and the Hatgadh Fort.","Enjoy the pleasant climate of Gujarat's only hill station."
"Palitana","2","Spiritual","Photography","Adventure","","","","1","Arrive in Palitana and rest for the early morning trek.","Explore the local market and the base of Shatrunjaya Hills.","Early dinner and rest."
"","","","","","","","","2","Start the early morning climb of over 3,500 steps to the top of Shatrunjaya Hill.","Explore the complex of over 900 Jain temples.","Descend before sunset and depart."
"Junagadh","2","History","Spiritual","Architecture","","","","1","Visit the Uparkot Fort and see the Buddhist caves and step-wells inside.","Explore the stunning Mahabat Maqbara and Bahauddin Maqbara.","Walk through the old city."
"","","","","","","","","2","Begin the climb or take the ropeway up Girnar Hill, a major pilgrimage site for Hindus and Jains.","Explore the temples on top of Girnar.","Descend and visit the Damodar Kund at the foothills."
"Kalimpong","2","Nature","Culture","Photography","","","","1","Arrive in Kalimpong. Visit Deolo Hill for panoramic views.","Explore Dr. Graham's Homes, a historic educational institution.","Stroll through the main market."
"","","","","","","","","2","Visit Zang Dhok Palri Phodang monastery and a flower nursery.","Explore the Pine View Nursery for its cactus collection.","Enjoy the quiet ambiance of this hill station."
"Daman","2","Beach","History","Nightlife","","","","1","Arrive in Moti Daman. Explore the Moti Daman Fort and the Lighthouse.","Visit the Church of Bom Jesus.","Relax at Jampore Beach and enjoy the sunset."
"","","","","","","","","2","Explore Nani Daman, including St. Jerome Fort.","Relax at Devka Beach.","Enjoy the nightlife and affordable seafood and drinks."
"Mukteshwar","2","Nature","Adventure","Photography","","","","1","Arrive in Mukteshwar. Visit the 350-year-old Mukteshwar Dham Temple.","Explore Chauli Ki Jali for rock climbing, rappelling and amazing valley views.","Enjoy the stunning sunset over the Himalayan range."
"","","","","","","","","2","Take a nature walk through the fruit orchards and forests.","Visit the Indian Veterinary Research Institute (IVRI).","Relax and enjoy the peaceful mountain environment."
"Patnitop","2","Nature","Relaxation","Photography","","","","1","Arrive in Patnitop from Jammu/Katra. Check in and enjoy the views.","Take a walk through the pine and deodar forests.","Enjoy the sunset from a viewpoint."
"","","","","","","","","2","Visit Nathatop for panoramic views and seasonal snow activities.","Explore the ancient Naag Mandir.","Enjoy a picnic at Sanasar Lake (a short drive away)."
"Dhanaulti","2","Nature","Adventure","Relaxation","","","","1","Arrive in Dhanaulti. Explore the Eco Park (Amber and Dhara).","Walk through the deodar and rhododendron forests.","Enjoy the quiet Himalayan evening."
"","","","","","","","","2","Visit the Surkanda Devi Temple (requires a short trek).","Try adventure sports at a local adventure park (zip-lining, sky walking etc).","Camping and bonfire."
"Kanatal","2","Nature","Adventure","Camping","","","","1","Arrive in Kanatal and check into a campsite.","Enjoy adventure activities like valley crossing and rappelling.","Bonfire, music, and stargazing."
"","","","","","","","","2","Visit the Kodia Jungle for a nature walk or jungle safari.","Explore the Tehri Dam, one of the tallest dams in the world.","Relax and enjoy the mountain scenery."
"Lachen and Lachung","4","Nature","Adventure","Photography","","","","1","Travel from Gangtok to Lachen. Stop at viewpoints along the way.","Arrive in Lachen and acclimatize.","Early dinner and rest."
"","","","","","","","","2","Early morning excursion to Gurudongmar Lake, one of the highest lakes in the world.","Return to Lachen for lunch, then drive to Lachung.","Check into your hotel in Lachung and relax."
"","","","","","","","","3","Visit the Yumthang Valley (Valley of Flowers).","Optional trip to Zero Point (Yumesamdong) for snow (seasonal).","Return to Lachung and explore the village."
